,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id
0,2,0.079041,0.97496,0.974971,0.981523,0.97496,4.059845,0.169623,0.9462,0.945981,0.9614,0.9462,4.741968,0.163551,0.9489,0.947982,0.961123,0.9489,4.727743,valid,2021,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
1,1,0.2366,0.92794,0.926981,0.943434,0.92794,4.437721,0.184963,0.943,0.942811,0.958481,0.943,4.888159,0.171536,0.942,0.940979,0.955884,0.942,4.877349,valid,2021,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
2,2,0.077434,0.97504,0.975163,0.981964,0.97504,4.113407,0.207384,0.9354,0.932348,0.946635,0.9354,4.764842,0.170869,0.9487,0.948224,0.960241,0.9487,4.75622,valid,5,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
3,1,0.236792,0.9268,0.92533,0.941101,0.9268,4.389392,0.189533,0.9424,0.940288,0.956735,0.9424,4.886734,0.181339,0.9406,0.93889,0.955484,0.9406,4.874313,valid,5,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
4,2,0.078025,0.97474,0.974642,0.981354,0.97474,4.05245,0.216904,0.9336,0.930898,0.950284,0.9336,4.758399,0.208047,0.9365,0.935069,0.953226,0.9365,4.750786,valid,40,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
5,1,0.237781,0.92678,0.925266,0.940873,0.92678,4.400666,0.178106,0.9438,0.94224,0.956374,0.9438,4.834486,0.174283,0.9441,0.942444,0.956246,0.9441,4.826038,valid,40,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
6,2,0.078616,0.97498,0.975022,0.981812,0.97498,4.146124,0.227345,0.9348,0.932201,0.951251,0.9348,4.827314,0.216537,0.9366,0.934074,0.951672,0.9366,4.819316,valid,2020,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
7,1,0.235659,0.92816,0.926713,0.942481,0.92816,4.4478,0.18847,0.9426,0.940411,0.955682,0.9426,4.900403,0.182944,0.9425,0.940507,0.955851,0.9425,4.893961,valid,2020,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
8,2,0.079365,0.97462,0.974627,0.981402,0.97462,4.034338,0.173494,0.9468,0.945339,0.958556,0.9468,4.707082,0.142134,0.9551,0.954756,0.965115,0.9551,4.695599,valid,42,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
9,1,0.236741,0.92814,0.926703,0.941929,0.92814,4.34564,0.21478,0.933,0.930055,0.949176,0.933,4.833257,0.19348,0.9364,0.933665,0.951472,0.9364,4.821995,valid,42,0.2,roberta-wwm,256,60,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
10,2,0.088485,0.97216,0.97221,0.97952,0.97216,4.454499,0.207794,0.9382,0.936043,0.952787,0.9382,4.863386,0.219414,0.931,0.928523,0.946506,0.931,4.868457,valid,5,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
11,1,0.237738,0.92698,0.925431,0.9408,0.92698,4.539756,0.175779,0.9488,0.947897,0.962086,0.9488,4.868601,0.18006,0.945,0.944244,0.959048,0.945,4.874422,valid,5,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
12,2,0.085861,0.9728,0.972764,0.979714,0.9728,4.406157,0.202426,0.9376,0.935876,0.952515,0.9376,4.834946,0.182597,0.9414,0.940065,0.95578,0.9414,4.833959,valid,40,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
13,1,0.23734,0.92578,0.924382,0.939982,0.92578,4.482619,0.161944,0.9506,0.949328,0.963049,0.9506,4.858363,0.16542,0.9474,0.945592,0.958001,0.9474,4.858256,valid,40,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
14,2,0.087914,0.97212,0.971904,0.978881,0.97212,4.455848,0.149662,0.9554,0.954855,0.967661,0.9554,4.839241,0.161433,0.9497,0.948996,0.962482,0.9497,4.845574,valid,2020,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
15,1,0.238433,0.92718,0.925855,0.942107,0.92718,4.550478,0.162627,0.9516,0.95016,0.962032,0.9516,4.878121,0.154157,0.9499,0.949657,0.962904,0.9499,4.8891,valid,2020,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
16,2,0.087999,0.9718,0.971573,0.978728,0.9718,4.439515,0.192821,0.9406,0.938567,0.954423,0.9406,4.827015,0.180293,0.9438,0.942679,0.957411,0.9438,4.831449,valid,42,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
17,1,0.239339,0.92678,0.925013,0.940107,0.92678,4.512873,0.208898,0.9352,0.933376,0.951435,0.9352,4.890333,0.191771,0.9381,0.93654,0.953126,0.9381,4.894043,valid,42,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
18,2,0.087131,0.9725,0.972464,0.979615,0.9725,4.406133,0.22969,0.9282,0.924947,0.946279,0.9282,4.817494,0.204819,0.9386,0.93651,0.95377,0.9386,4.82702,valid,2021,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
19,1,0.239379,0.92734,0.925935,0.942062,0.92734,4.476991,0.16115,0.9506,0.949084,0.961137,0.9506,4.816294,0.15338,0.9497,0.948724,0.961759,0.9497,4.826316,valid,2021,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,cnews/keep_all/BiAttentionClassifyModel
20,3,0.035543,0.9889,0.988998,0.992067,0.9889,4.084708,0.202524,0.945,0.94368,0.959538,0.945,4.196583,0.211323,0.9445,0.943623,0.959004,0.9445,4.191624,valid,40,0.2,roberta-wwm,256,40,BiAttentionClassifyModel,1,,cnews/keep_all/BiAttentionClassifyModel
21,2,0.0746,0.97628,0.976249,0.982414,0.97628,4.277224,0.158142,0.9516,0.950705,0.962982,0.9516,4.324777,0.155321,0.9532,0.953322,0.965881,0.9532,4.316093,valid,40,0.2,roberta-wwm,256,40,BiAttentionClassifyModel,1,,cnews/keep_all/BiAttentionClassifyModel
22,1,0.228461,0.93344,0.931733,0.946478,0.93344,4.542484,0.195403,0.9368,0.934742,0.949848,0.9368,4.458607,0.164596,0.9479,0.947376,0.961868,0.9479,4.450859,valid,40,0.2,roberta-wwm,256,40,BiAttentionClassifyModel,1,,cnews/keep_all/BiAttentionClassifyModel
